Benchmark,Initial Fmax (MHz),Best Fmax (MHz),Improvement (MHz),Improvement (%),Runtime (seconds),Total LLM Cost (USD)
amd_mini-isp_2025.1,307.13,404.20,97.08,31.61,511.45,0.0055
boom_soc_2025.1,48.24,51.68,3.45,7.15,1697.12,0.0027
corescore_500_mod_2025.1,344.23,344.23,0.00,0.00,770.32,0.0027
finn_radioml_2025.1,284.90,284.90,0.00,0.00,507.08,0.0028
ispd16_example2_2025.1,107.64,121.57,13.92,12.93,1956.37,0.0027
logicnets_jscl_2025.1,403.55,473.04,69.49,17.22,1071.57,0.0062
rosetta_3d-rendering_2025.1,270.93,270.93,0.00,0.00,896.20,0.0030
rosetta_digit-recognition_2025.1,366.97,414.08,47.11,12.84,1087.92,0.0028
rosetta_optical-flow_2025.1,324.89,325.31,0.42,0.13,283.19,0.0079
rosetta_spam-filter_2025.1,437.45,447.63,10.18,2.33,921.34,0.0032
vexriscv_re-place_2025.1,310.17,455.37,145.20,46.81,507.71,0.0043
vtr_mcml_2025.1,62.25,62.25,0.00,0.00,589.61,0.0029
