dcp,status,exit_code,console_log,run_artifact_dir,optimizer_run_dir,token_usage_json,start_time,end_time
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/amd_mini-isp_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/amd_mini-isp_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/amd_mini-isp_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/amd_mini-isp_2025.1/dcp_optimizer_run-20260916_224118","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/amd_mini-isp_2025.1/dcp_optimizer_run-20260916_224118/token_usage.json","2026-09-16 22:41:17","2026-09-16 22:55:12"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/boom_soc_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/boom_soc_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/boom_soc_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/boom_soc_2025.1/dcp_optimizer_run-20260916_225512","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/boom_soc_2025.1/dcp_optimizer_run-20260916_225512/token_usage.json","2026-09-16 22:55:12","2026-09-16 23:55:16"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/corescore_500_mod_2025.1.dcp",FAIL,2,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/corescore_500_mod_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/corescore_500_mod_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/corescore_500_mod_2025.1/dcp_optimizer_run-20260916_235517","","2026-09-16 23:55:16","2026-09-16 23:58:05"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/finn_radioml_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/finn_radioml_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/finn_radioml_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/finn_radioml_2025.1/dcp_optimizer_run-20260916_235806","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/finn_radioml_2025.1/dcp_optimizer_run-20260916_235806/token_usage.json","2026-09-16 23:58:05","2026-09-17 00:30:27"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/ispd16_example2_2025.1.dcp",FAIL,2,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/ispd16_example2_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/ispd16_example2_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/ispd16_example2_2025.1/dcp_optimizer_run-20260917_003027","","2026-09-17 00:30:27","2026-09-17 00:35:47"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/logicnets_jscl_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/logicnets_jscl_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/logicnets_jscl_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/logicnets_jscl_2025.1/dcp_optimizer_run-20260917_003548","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/logicnets_jscl_2025.1/dcp_optimizer_run-20260917_003548/token_usage.json","2026-09-17 00:35:47","2026-09-17 01:06:21"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/rosetta_3d-rendering_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/rosetta_3d-rendering_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/rosetta_3d-rendering_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/rosetta_3d-rendering_2025.1/dcp_optimizer_run-20260917_010622","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/rosetta_3d-rendering_2025.1/dcp_optimizer_run-20260917_010622/token_usage.json","2026-09-17 01:06:21","2026-09-17 01:39:33"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/rosetta_digit-recognition_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/rosetta_digit-recognition_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/rosetta_digit-recognition_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/rosetta_digit-recognition_2025.1/dcp_optimizer_run-20260917_013934","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/rosetta_digit-recognition_2025.1/dcp_optimizer_run-20260917_013934/token_usage.json","2026-09-17 01:39:33","2026-09-17 02:15:48"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/rosetta_optical-flow_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/rosetta_optical-flow_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/rosetta_optical-flow_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/rosetta_optical-flow_2025.1/dcp_optimizer_run-20260917_021549","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/rosetta_optical-flow_2025.1/dcp_optimizer_run-20260917_021549/token_usage.json","2026-09-17 02:15:48","2026-09-17 02:33:26"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/rosetta_spam-filter_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/rosetta_spam-filter_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/rosetta_spam-filter_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/rosetta_spam-filter_2025.1/dcp_optimizer_run-20260917_023327","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/rosetta_spam-filter_2025.1/dcp_optimizer_run-20260917_023327/token_usage.json","2026-09-17 02:33:26","2026-09-17 03:06:22"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/vexriscv_re-place_2025.1.dcp",PASS,0,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/vexriscv_re-place_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/vexriscv_re-place_2025.1","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/vexriscv_re-place_2025.1/dcp_optimizer_run-20260917_030623","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/vexriscv_re-place_2025.1/dcp_optimizer_run-20260917_030623/token_usage.json","2026-09-17 03:06:22","2026-09-17 03:27:02"
"/home/ubuntu/fpl26_optimization_contest/fpl26_contest_benchmarks/vtr_mcml_2025.1.dcp",FAIL,2,"/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/vtr_mcml_2025.1/console.log","/home/ubuntu/fpl26_optimization_contest/batch_logs/run-20260916_224117/vtr_mcml_2025.1","","","2026-09-17 03:27:02","2026-09-17 03:42:26"
