,,,,,,,,,
,Benchmark,Initial Fmax (MHz),Best Fmax (MHz),Improvement (MHz),Improvement (%),Runtime (seconds),Total LLM Cost (USD),Status,Score
,amd_mini-isp_2025.1,"307,13","404,2","97,07","24,02%",629,"0,0058",PASS,"95,318"
,boom_soc_2025.1,"48,24","51,68","3,44","6,66%",1726,"0,0028",PASS,"3,274"
,corescore_500_mod_2025.1,"344,23","344,23",0,"0,00%",754,"0,0026",PASS,"0,000"
,finn_radioml_2025.1,"284,9","284,9",0,"0,00%",506,"0,0027",PASS,"0,000"
,ispd16_example2_2025.1,"107,64","121,57","13,93","11,46%",1966,"0,0052",PASS,"13,162"
,logicnets_jscl_2025.1,"403,55","499,25","95,7","19,17%",1202,"0,0065",PASS,"92,442"
,rosetta_3d-rendering_2025.1,"270,93","270,93",0,"0,00%",887,"0,0029",PASS,"0,000"
,rosetta_digit-recognition_2025.1,"366,97","414,08","47,11","11,38%",1086,"0,0028",PASS,"45,676"
,rosetta_optical-flow_2025.1,"324,89","325,31","0,42","0,13%",339,"0,0071",PASS,"0,416"
,rosetta_spam-filter_2025.1,"437,45","447,63","10,18","2,27%",932,"0,0038",PASS,"9,913"
,vexriscv_re-place_2025.1,"310,17","455,37","145,2","31,89%",580,"0,0043",PASS,"142,798"
,vtr_mcml_2025.1,"62,25","62,25",0,"0,00%",594,"0,0028",PASS,"0,000"
,,,,,,,,,"33,583"
